Tree,Gap,TransX,TransY,DBH,Nodes,Ht,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,1,3,0,4.4,23,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,7,3,4,4,13,7,23,17,34,25,30,23,19,25,22,29,28,20,14,6,
2,1,4,0,3.3,24,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,16,10,7,7,16,13,16,12,25,14,24,21,20,22,20,24,15,27,18,17,15,16,
3,1,5,2,2.8,24,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,16,8,6,16,18,10,17,7,21,10,14,12,16,14,23,15,21,20,14,14,12,9,
4,1,5,2.5,3.5,22,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,5,15,9,12,13,29,16,20,13,17,19,27,25,13,31,32,26,26,23,
5,1,10.2,0,9.5,43,739,,,,,,,,,,,,,,,,,,,,,16,18,9,14,18,13,14,10,6,8,8,10,12,11,13,11,6,6,7,8,8,9,11,13,20,27,17,23,11,38,21,29,27,31,29,19,23.1,22,33,40,24,22,24,
6,2,2,0.7,8.1,23,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,13,13,15,24,25,22,24,12,43,32,35,25,24,30,31,38,44,60.12,40.2,42.2,30.2,30.2,
7,2,3.1,0.5,5.8,23,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,10,13,14,22,15,38,16,53,17,41,40,28,17,57.1,29,14,40.2,35.2,20.2,25.2,20.2,
8,2,6.5,0,4.2,18,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,8,12,18,22,40,30,50,28,45,35,36,30,37,26,20.2,25.2,30.2,25.2,20.2,15.2,
9,2,9.5,0.1,6,20,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,20,14,11,15,25,27,34,30,73,32,38,29,33,28,27,25.2,20.2,25.2,50.2,40.2,30.2,35.2,30.2
10,2,11.3,0.3,5.5,22,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,11,12,18,14,27,15,42,20,27,23,32,21,31,24,14,37,36,28,30.2,20.2,
11,3,2.2,1,2.8,22,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,12,7,2,9,16,2,7,6,15,17,26,24,33,19,25,30,26,17,18,18,
12,3,2.2,1,6.5,21,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,10,6,10,16,7,32,13,16,14,38.1,26,25,17,40,45,30,45,45,45,
13,3,4,2,7.2,24,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,13,16,14,20,15,20,24,26,35,15,32,20,29,40,37,22,50,55,40,35,40,40,
14,3,5.5,1.8,3.8,27,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,9,19,18,22,23,13,16,13,13,22,19,14,18,24,26,31,23,22,21,23,17,19,19,15,12,
15,3,8,1.2,3.7,23,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,7,4,8,5,9,8,18,18,21,23,16,17,17,22,19,26,27,22,25,26,18
16,4,6.7,1.8,2,23,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,14,3,12,13,11,10,6,9,8,16,12,15,14,11,7,13,11,5,5,10,5,
17,4,2.3,0,7.7,25,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,43,34.1,29,26,31,17,21,17,20,7,16,14,24,22,28,28,31,32,30,26,25,20,18,,
18,4,2.5,1.6,3.6,24,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,18,18,10,18,17,18,31,9,16,16,19,17,27,25,14,14,15,22,17,17,20,14,
19,4,4,0.6,5.6,23,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,19,19,23,17,17,18,19,42,21,27,28,35,32,28,33,19,31,32,25,25,20,
20,5,7.3,1.6,1.7,24,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,3,6,15,15,24,11,17,12,11,12,15,16,12,10,17,20,12,7,9,18,16
21,5,8.4,1.5,4.1,25,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,5,16,4,32,33,16,27,17,22,14,12,18,22,28,22,16,18,27,26,27,26,10,
,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7,0.3,1.2,2.6,24,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,13,11.1,17,12,10,9,7,10,13,7,9,7,16,20,10,12,18,27,11,9,16,12,
,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
